iter	Logloss
0	0.6871601919
1	0.6827119977
2	0.6788173204
3	0.6726645995
4	0.6662731814
5	0.6611468712
6	0.6560254901
7	0.6507345478
8	0.6462794958
9	0.6429845831
10	0.6378335846
11	0.633120076
12	0.6290167476
13	0.6247439009
14	0.6206458017
15	0.6161875778
16	0.6123693659
17	0.6077249506
18	0.6034860075
19	0.5988548365
20	0.5941113247
21	0.5909241237
22	0.5871731619
23	0.5830647758
24	0.5793331018
25	0.5760375462
26	0.5728233852
27	0.5709558551
28	0.567277544
29	0.5640334654
30	0.5600191181
31	0.5562138075
32	0.552944612
33	0.5494659938
34	0.5461298482
35	0.5433613638
36	0.540237984
37	0.5371965987
38	0.5340021541
39	0.531119143
40	0.5291832913
41	0.5272657844
42	0.5247425979
43	0.5222682739
44	0.5202956468
45	0.5173170968
46	0.5150125053
47	0.5121921154
48	0.5100030792
49	0.5081198189
50	0.5057906247
51	0.5037903518
52	0.501550953
53	0.4988034709
54	0.4968249717
55	0.4945091505
56	0.4925984158
57	0.4906075295
58	0.4886833791
59	0.4866939073
60	0.4847906734
61	0.4829182143
62	0.4820685655
63	0.4800880946
64	0.4784747349
65	0.4772527459
66	0.4752760041
67	0.4737304087
68	0.4722580213
69	0.4707592739
70	0.469130441
71	0.4681133742
72	0.4663793157
73	0.4647819862
74	0.4634260542
75	0.4620015862
76	0.4607844835
77	0.459572267
78	0.4579038299
79	0.4567061006
80	0.4556760467
81	0.4545692701
82	0.4529021617
83	0.451979905
84	0.4508215229
85	0.4494824356
86	0.4488933863
87	0.4474978501
88	0.4464053465
89	0.4450392991
90	0.4439285793
91	0.442947602
92	0.4417412576
93	0.4403322198
94	0.4394886145
95	0.4387478346
96	0.4376604745
97	0.4364908626
98	0.435291676
99	0.4344603721
100	0.4336530278
101	0.4326584205
102	0.4315740178
103	0.4306908082
104	0.4295439988
105	0.4287883887
106	0.4278001678
107	0.4273478047
108	0.4263694849
109	0.4250934901
110	0.424243627
111	0.4237646896
112	0.422642097
113	0.4216239158
114	0.4208795783
115	0.4204133709
116	0.419510102
117	0.4188276569
118	0.4179182588
119	0.4171352172
120	0.4164078102
121	0.41571765
122	0.414833026
123	0.4140861597
124	0.4133400649
125	0.4125853978
126	0.4121184617
127	0.4117361347
128	0.4113261191
129	0.4110661196
130	0.410437166
131	0.4099815454
132	0.4094612893
133	0.408916902
134	0.4082929633
135	0.4077915663
136	0.4072647523
137	0.4065577046
138	0.4059024768
139	0.4055174924
140	0.4045710189
141	0.4041173699
142	0.4035805691
143	0.4033438007
144	0.4028931093
145	0.4025814614
146	0.402122669
147	0.4019738958
148	0.4011632512
149	0.4004466882
150	0.40025201
151	0.3998366795
152	0.3993798159
153	0.3989445976
154	0.3985536554
155	0.3979018565
156	0.3976234693
157	0.3970257191
158	0.3965525681
159	0.3960560145
160	0.3955664903
161	0.3952980042
162	0.3951678758
163	0.3946937818
164	0.3943112834
165	0.3938761508
166	0.3933521657
167	0.3929638809
168	0.3926235585
169	0.3921099031
170	0.3916632834
171	0.3913141744
172	0.3909274326
173	0.3907420983
174	0.3902452019
175	0.3897290605
176	0.3892439081
177	0.388752798
178	0.3884881695
179	0.3880626378
180	0.3877789787
181	0.3877301591
182	0.3872914261
183	0.3870487856
184	0.3867574113
185	0.386454893
186	0.3860510923
187	0.3856973112
188	0.385385749
189	0.3850264817
190	0.3847996572
191	0.3844163016
192	0.3843500802
193	0.3839569092
194	0.383575268
195	0.3832865511
196	0.3828598194
197	0.3826692988
198	0.3823260189
