iter	Passed	Remaining
227	768	2600
228	772	2601
229	778	2606
230	783	2607
231	788	2609
232	793	2611
233	798	2613
234	803	2616
235	809	2619
236	813	2620
237	819	2623
238	824	2624
239	828	2624
240	834	2626
241	838	2627
242	843	2628
243	848	2629
244	853	2629
245	857	2629
246	863	2632
247	868	2633
248	873	2635
249	878	2635
250	883	2636
251	887	2635
252	892	2635
253	897	2635
254	902	2635
255	907	2637
256	912	2637
257	917	2638
258	922	2638
259	927	2638
260	932	2639
261	936	2638
262	941	2637
263	946	2638
264	951	2638
265	956	2638
266	961	2638
267	966	2638
268	970	2637
269	975	2636
270	979	2635
271	984	2635
272	990	2636
273	995	2637
274	999	2635
275	1004	2635
276	1009	2634
277	1014	2634
278	1019	2634
279	1024	2634
280	1029	2633
281	1034	2633
282	1039	2633
283	1044	2632
284	1049	2631
285	1054	2632
286	1059	2631
287	1064	2630
288	1068	2629
289	1073	2627
290	1078	2626
291	1083	2626
292	1085	2620
293	1088	2613
294	1094	2614
295	1098	2613
296	1103	2613
297	1109	2612
298	1115	2616
299	1123	2620
300	1129	2622
301	1134	2622
302	1139	2621
303	1144	2619
304	1149	2620
305	1155	2620
306	1159	2618
307	1164	2617
308	1169	2615
309	1174	2613
310	1179	2613
311	1184	2611
312	1189	2610
313	1194	2609
314	1198	2607
315	1203	2605
316	1208	2604
317	1213	2603
318	1218	2601
319	1223	2600
320	1228	2599
321	1233	2596
322	1238	2595
323	1242	2593
324	1247	2591
325	1253	2590
326	1258	2590
327	1262	2587
328	1268	2586
329	1272	2584
330	1277	2582
331	1282	2580
332	1287	2578
333	1292	2576
334	1297	2575
335	1301	2572
336	1306	2571
337	1309	2565
338	1314	2563
339	1320	2563
340	1325	2560
341	1329	2558
342	1334	2557
343	1339	2554
344	1344	2552
345	1349	2550
346	1354	2548
347	1358	2545
348	1363	2543
349	1368	2540
350	1372	2538
351	1377	2535
352	1382	2533
353	1386	2530
354	1392	2529
355	1397	2527
356	1402	2525
357	1406	2522
358	1412	2522
359	1417	2520
360	1422	2518
361	1427	2516
362	1433	2515
363	1436	2509
364	1441	2508
365	1446	2506
366	1451	2503
367	1456	2501
368	1461	2499
369	1466	2497
370	1471	2494
371	1476	2491
372	1480	2489
373	1485	2486
374	1490	2484
375	1493	2479
376	1499	2478
377	1505	2476
378	1510	2474
379	1515	2472
380	1520	2470
381	1525	2467
382	1530	2465
383	1535	2463
384	1540	2461
385	1542	2454
386	1547	2451
387	1552	2448
388	1557	2445
389	1560	2440
390	1565	2437
391	1570	2435
392	1574	2432
393	1579	2429
394	1584	2426
395	1588	2423
396	1593	2420
397	1598	2418
398	1603	2415
399	1608	2412
400	1613	2409
401	1617	2406
402	1622	2403
403	1626	2399
404	1629	2394
405	1634	2391
406	1640	2389
407	1643	2384
408	1649	2382
409	1653	2379
410	1659	2377
411	1664	2374
412	1668	2372
413	1673	2368
414	1677	2365
415	1682	2362
416	1687	2359
417	1692	2356
418	1697	2353
419	1702	2351
420	1707	2348
421	1712	2345
422	1717	2343
423	1722	2340
424	1727	2337
425	1731	2333
426	1737	2331
427	1742	2328
428	1747	2325
429	1752	2323
430	1757	2320
431	1762	2318
432	1768	2315
433	1773	2312
434	1778	2309
435	1783	2306
436	1788	2303
437	1792	2300
438	1796	2295
439	1801	2292
440	1806	2289
441	1810	2286
442	1815	2283
443	1820	2279
444	1825	2276
445	1830	2273
446	1835	2270
447	1838	2265
448	1843	2262
449	1848	2259
450	1853	2255
451	1857	2252
452	1862	2249
453	1867	2246
454	1872	2242
455	1875	2237
456	1880	2234
457	1885	2231
458	1890	2227
459	1895	2225
460	1901	2222
461	1904	2218
462	1909	2214
463	1914	2211
464	1919	2208
465	1922	2203
466	1927	2200
467	1932	2196
468	1936	2192
469	1941	2189
470	1946	2186
471	1951	2183
472	1956	2179
473	1962	2177
474	1967	2174
475	1971	2170
476	1976	2167
477	1981	2163
478	1985	2159
479	1990	2156
480	1993	2151
481	1998	2147
482	2002	2143
483	2007	2140
484	2012	2137
485	2017	2133
486	2022	2130
487	2027	2127
488	2033	2124
489	2039	2122
490	2044	2119
491	2050	2117
492	2055	2113
493	2060	2110
494	2065	2107
495	2070	2104
496	2075	2100
497	2081	2097
498	2086	2094
499	2091	2091
500	2096	2087
501	2101	2084
502	2105	2080
503	2111	2077
504	2114	2072
505	2119	2069
506	2124	2066
507	2127	2060
508	2131	2056
509	2136	2052
510	2141	2049
511	2146	2045
512	2151	2042
513	2156	2038
514	2160	2034
515	2165	2031
516	2170	2027
517	2175	2023
518	2179	2020
519	2184	2016
520	2189	2012
521	2193	2009
522	2198	2004
523	2203	2001
524	2206	1996
525	2211	1993
526	2216	1989
527	2220	1985
528	2225	1981
529	2229	1977
530	2234	1973
531	2239	1970
532	2244	1966
533	2248	1962
534	2253	1958
535	2258	1954
536	2262	1951
537	2268	1947
538	2272	1943
539	2277	1939
540	2282	1936
541	2288	1933
542	2293	1930
543	2299	1927
544	2304	1924
545	2309	1920
546	2314	1916
547	2319	1912
548	2323	1908
549	2328	1905
550	2332	1900
551	2336	1896
552	2342	1893
553	2346	1889
554	2351	1885
555	2356	1881
556	2362	1878
557	2367	1875
558	2372	1871
559	2377	1867
560	2383	1864
561	2387	1860
562	2392	1857
563	2398	1853
564	2403	1850
565	2408	1846
566	2413	1843
567	2418	1839
568	2423	1835
569	2428	1831
570	2432	1827
571	2437	1823
572	2443	1821
573	2448	1817
574	2453	1813
575	2458	1810
576	2461	1804
577	2466	1800
578	2470	1796
579	2474	1791
580	2479	1787
581	2483	1783
582	2488	1779
583	2493	1775
584	2498	1772
585	2502	1768
586	2507	1764
587	2512	1760
588	2517	1756
589	2522	1752
590	2527	1748
591	2532	1745
592	2537	1741
593	2541	1737
594	2546	1733
595	2551	1729
596	2556	1725
597	2560	1721
598	2565	1717
599	2570	1713
600	2575	1709
601	2579	1705
602	2583	1700
603	2588	1697
604	2592	1692
605	2598	1689
606	2602	1685
607	2608	1681
608	2613	1677
609	2617	1673
610	2622	1669
611	2626	1665
612	2632	1661
613	2636	1657
614	2641	1653
615	2646	1649
616	2651	1645
617	2655	1641
618	2661	1637
619	2665	1633
620	2670	1629
621	2676	1626
622	2681	1622
623	2684	1617
624	2687	1612
625	2694	1609
626	2700	1606
627	2706	1602
628	2711	1599
629	2716	1595
630	2722	1592
631	2727	1588
632	2732	1584
633	2738	1580
634	2743	1576
635	2748	1572
636	2751	1568
637	2757	1564
638	2761	1560
639	2766	1556
640	2771	1552
641	2773	1546
642	2778	1542
643	2783	1538
644	2788	1534
645	2792	1530
646	2795	1525
647	2799	1520
648	2804	1516
649	2809	1512
650	2814	1508
651	2819	1504
652	2824	1500
653	2828	1496
654	2834	1492
655	2839	1488
656	2844	1485
657	2849	1481
658	2853	1476
659	2857	1472
660	2862	1468
661	2867	1464
662	2872	1460
663	2877	1456
664	2882	1452
665	2887	1447
666	2891	1443
667	2896	1439
668	2901	1435
669	2905	1431
670	2911	1427
671	2916	1423
672	2920	1419
673	2925	1415
674	2930	1411
675	2935	1407
676	2938	1402
677	2943	1397
678	2948	1393
679	2952	1389
680	2957	1385
681	2962	1381
682	2967	1377
683	2972	1373
684	2978	1369
685	2983	1365
686	2988	1361
687	2993	1357
688	2998	1353
689	3003	1349
690	3008	1345
691	3013	1341
692	3018	1337
693	3023	1333
694	3028	1329
695	3033	1324
696	3038	1321
697	3044	1317
698	3049	1312
699	3054	1308
700	3059	1304
701	3063	1300
702	3068	1296
703	3072	1291
704	3077	1287
705	3082	1283
706	3088	1279
707	3094	1276
708	3099	1272
709	3104	1268
710	3108	1263
711	3113	1259
712	3118	1255
713	3122	1250
714	3127	1246
715	3132	1242
716	3137	1238
717	3141	1234
718	3146	1229
719	3151	1225
720	3156	1221
721	3160	1216
722	3165	1212
723	3169	1208
724	3174	1204
725	3179	1199
726	3184	1195
727	3189	1191
728	3194	1187
729	3199	1183
730	3204	1179
731	3208	1174
732	3211	1169
733	3216	1165
734	3219	1160
735	3223	1156
736	3229	1152
737	3234	1148
738	3240	1144
739	3244	1140
740	3249	1135
741	3254	1131
742	3259	1127
743	3264	1123
744	3269	1118
745	3273	1114
746	3277	1110
747	3282	1105
748	3287	1101
749	3292	1097
750	3297	1093
751	3303	1089
752	3308	1085
753	3314	1081
754	3319	1077
755	3324	1072
756	3328	1068
757	3333	1064
758	3338	1060
759	3343	1055
760	3350	1052
761	3355	1048
762	3360	1043
763	3364	1039
764	3370	1035
765	3375	1031
766	3380	1026
767	3384	1022
768	3389	1018
769	3394	1013
770	3399	1009
771	3404	1005
772	3408	1001
773	3413	996
774	3418	992
775	3423	988
776	3428	983
777	3432	979
778	3437	975
779	3440	970
780	3445	966
781	3450	961
782	3455	957
783	3460	953
784	3464	948
785	3469	944
786	3475	940
787	3480	936
788	3486	932
789	3491	928
790	3496	923
791	3501	919
792	3506	915
793	3511	911
794	3516	906
795	3521	902
796	3526	898
797	3531	893
798	3536	889
799	3540	885
800	3545	880
801	3549	876
802	3554	872
803	3559	867
804	3563	863
805	3568	858
806	3573	854
807	3578	850
808	3582	845
809	3587	841
810	3592	837
811	3597	832
812	3601	828
813	3607	824
814	3613	820
815	3619	816
816	3623	811
817	3629	807
818	3633	803
819	3639	798
820	3644	794
821	3649	790
822	3654	785
823	3659	781
824	3664	777
825	3669	772
826	3674	768
827	3679	764
828	3684	759
829	3688	755
830	3694	751
831	3698	746
832	3703	742
833	3708	738
834	3712	733
835	3717	729
836	3722	724
837	3727	720
838	3731	716
839	3736	711
840	3740	707
841	3745	702
842	3750	698
843	3755	694
844	3760	689
845	3765	685
846	3769	680
847	3774	676
848	3779	672
849	3783	667
850	3788	663
851	3791	658
852	3796	654
853	3800	649
854	3805	645
855	3810	641
856	3814	636
857	3819	632
858	3824	627
859	3828	623
860	3833	618
861	3838	614
862	3843	610
863	3847	605
864	3852	601
865	3857	596
866	3862	592
867	3868	588
868	3874	584
869	3880	579
870	3885	575
871	3889	570
872	3894	566
873	3899	562
874	3904	557
875	3908	553
876	3913	548
877	3918	544
878	3923	540
879	3931	536
880	3936	531
881	3941	527
882	3946	522
883	3951	518
884	3956	514
885	3962	509
886	3967	505
887	3972	500
888	3977	496
889	3982	492
890	3987	487
891	3992	483
892	3997	479
893	4002	474
894	4008	470
895	4013	465
896	4018	461
897	4023	456
898	4028	452
899	4033	448
900	4038	443
901	4043	439
902	4047	434
903	4053	430
904	4058	426
905	4063	421
906	4068	417
907	4073	412
908	4077	408
909	4082	403
910	4087	399
911	4091	394
912	4096	390
913	4101	385
914	4106	381
915	4111	377
916	4116	372
917	4121	368
918	4126	363
919	4130	359
920	4135	354
921	4140	350
922	4144	345
923	4149	341
924	4154	336
925	4159	332
926	4164	327
927	4169	323
928	4173	318
929	4178	314
930	4182	309
931	4187	305
932	4192	301
933	4197	296
934	4202	292
935	4206	287
936	4211	283
937	4216	278
938	4221	274
939	4226	269
940	4231	265
941	4235	260
942	4240	256
943	4246	251
944	4251	247
945	4256	242
946	4263	238
947	4269	234
948	4275	229
949	4280	225
950	4285	220
951	4290	216
952	4295	211
953	4301	207
954	4306	202
955	4311	198
956	4316	193
957	4321	189
958	4325	184
959	4331	180
960	4335	175
961	4340	171
962	4345	166
963	4350	162
964	4354	157
965	4359	153
966	4364	148
967	4369	144
968	4374	139
969	4379	135
970	4383	130
971	4388	126
972	4393	121
973	4398	117
974	4403	112
975	4409	108
976	4414	103
977	4419	99
978	4423	94
979	4428	90
980	4433	85
981	4437	81
982	4442	76
983	4447	72
984	4451	67
985	4456	63
986	4461	58
987	4466	54
988	4471	49
989	4475	45
990	4480	40
991	4485	36
992	4490	31
993	4495	27
994	4500	22
995	4506	18
996	4510	13
997	4515	9
998	4520	4
999	4525	0
